Prompt,Motions,IO,KRL_Code
"Scan RFID tag before placing item in bin","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1","DEF Scan_And_Place()
   PTP RFID_SCAN
   LIN STORAGE_BIN
   $OUT[6] = TRUE
   WAIT SEC 1
END"
"Apply thermal paste on processor evenly","LIN","$OUT[10]=TRUE, WAIT SEC 2, $OUT[10]=FALSE","DEF Apply_Thermal_Paste()
   LIN PASTE_START
   LIN PASTE_END
   $OUT[10] = TRUE
   WAIT SEC 2
   $OUT[10] = FALSE
END"
"Move empty tray to loading station","PTP + LIN","$OUT[1]=TRUE","DEF Move_Tray()
   PTP TRAY_RACK
   LIN LOADING_STATION
   $OUT[1] = TRUE
END"
"Inspect solar panel for dust using camera","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2","DEF Inspect_Solar_Panel()
   PTP CAMERA_BASE
   LIN PANEL_SURFACE
   $OUT[3] = TRUE
   WAIT SEC 2
END"
"Pick blood sample and place in analyzer slot","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Handle_Blood_Sample()
   PTP SAMPLE_RACK
   LIN ANALYZER_SLOT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Seal packaged item using heated press","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 3, $OUT[2]=FALSE","DEF Seal_Package()
   PTP PACKAGE_READY
   LIN PRESS_PAD
   $OUT[2] = TRUE
   WAIT SEC 3
   $OUT[2] = FALSE
END"
"Mount camera module onto robotic frame","PTP + LIN","$OUT[5]=TRUE","DEF Mount_Camera()
   PTP CAMERA_PICK
   LIN FRAME_MOUNT
   $OUT[5] = TRUE
END"
"Insert plastic plug into test socket","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Plug_Test_Socket()
   PTP PLUG_PICK
   LIN SOCKET_POS
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Apply label to finished box","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 1, $OUT[9]=FALSE","DEF Label_Box()
   PTP LABEL_STATION
   LIN BOX_POS
   $OUT[9] = TRUE
   WAIT SEC 1
   $OUT[9] = FALSE
END"
"Rotate inspection mirror around gear housing","LIN","$OUT[7]=TRUE","DEF Inspect_Gear_Housing()
   LIN MIRROR_PATH_START
   LIN MIRROR_PATH_END
   $OUT[7] = TRUE
END"
"Cool down heated metal bracket","LIN","$OUT[10]=TRUE, WAIT SEC 4, $OUT[10]=FALSE","DEF Cool_Metal_Bracket()
   LIN COOL_ZONE
   $OUT[10] = TRUE
   WAIT SEC 4
   $OUT[10] = FALSE
END"
"Pick glass plate and lower into washer","PTP + LIN","$OUT[8]=TRUE, WAIT SEC 2, $OUT[8]=FALSE","DEF Wash_Glass()
   PTP GLASS_RACK
   LIN WASHER_SLOT
   $OUT[8] = TRUE
   WAIT SEC 2
   $OUT[8] = FALSE
END"
"Lift engine cover and hold in service position","PTP + LIN","$OUT[1]=TRUE","DEF Hold_Engine_Cover()
   PTP COVER_PICK
   LIN SERVICE_POS
   $OUT[1] = TRUE
END"
"Insert coolant tube into engine bay port","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Insert_Coolant_Tube()
   PTP TUBE_PICK
   LIN ENGINE_PORT
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Clean conveyor belt with air jet","PTP","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Clean_Conveyor()
   PTP NOZZLE_POS
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Pick sensor and screw onto assembly board","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 1","DEF Attach_Sensor()
   PTP SENSOR_PICK
   LIN BOARD_POS
   $OUT[7] = TRUE
   WAIT SEC 1
END"
"Position battery and lock with mechanical latch","PTP + LIN","$OUT[4]=TRUE","DEF Lock_Battery()
   PTP BATTERY_SLOT
   LIN LATCH_POS
   $OUT[4] = TRUE
END"
"Insert LED light into socket and test","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Insert_LED()
   PTP LED_PICK
   LIN SOCKET_POS
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Turn handle to open furnace chamber","PTP","$OUT[8]=TRUE","DEF Open_Furnace()
   PTP HANDLE_POS
   $OUT[8] = TRUE
END"
"Place circuit tester on terminal strip","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Test_Circuit()
   PTP TESTER_PICK
   LIN TERMINAL_STRIP
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Transport container from filling to sealing station","PTP + LIN","$OUT[9]=TRUE","DEF Move_Container()
   PTP FILL_POS
   LIN SEAL_POS
   $OUT[9] = TRUE
END"
"Align camera for QR code reading","PTP + LIN","$OUT[1]=TRUE","DEF Align_QR_Camera()
   PTP BASE_POS
   LIN QR_SCAN_POS
   $OUT[1] = TRUE
END"
"Drop waste item into bin after rejection","LIN + PTP","$OUT[10]=TRUE, WAIT SEC 1, $OUT[10]=FALSE","DEF Reject_Item()
   LIN REJECT_POINT
   PTP BIN_POS
   $OUT[10] = TRUE
   WAIT SEC 1
   $OUT[10] = FALSE
END"
"Insert RFID card into access slot for verification","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Insert_RFID_Card()
   PTP CARD_PICK
   LIN ACCESS_SLOT
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Pick up vial and shake for mixing","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Shake_Vial()
   PTP VIAL_POS
   LIN SHAKE_POS
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Place packing foam into shipping box","PTP + LIN","$OUT[1]=TRUE","DEF Place_Foam()
   PTP FOAM_PICK
   LIN BOX_POS
   $OUT[1] = TRUE
END"
"Scan barcode on product before dispatch","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1","DEF Scan_Barcode()
   PTP SCANNER_POS
   LIN PRODUCT_POS
   $OUT[6] = TRUE
   WAIT SEC 1
END"
"Fill test tube with reagent and move to tray","PTP + LIN + LIN","$OUT[5]=TRUE, WAIT SEC 3, $OUT[5]=FALSE","DEF Fill_Test_Tube()
   PTP TUBE_PICK
   LIN DISPENSE_POS
   LIN TRAY_SLOT
   $OUT[5] = TRUE
   WAIT SEC 3
   $OUT[5] = FALSE
END"
"Close oven door after item placement","PTP + LIN","$OUT[8]=TRUE","DEF Close_Oven_Door()
   PTP DOOR_HANDLE
   LIN LOCK_POS
   $OUT[8] = TRUE
END"
"Apply UV light for sterilization","PTP","$OUT[3]=TRUE, WAIT SEC 4, $OUT[3]=FALSE","DEF Sterilize_With_UV()
   PTP UV_POS
   $OUT[3] = TRUE
   WAIT SEC 4
   $OUT[3] = FALSE
END"
"Push test button and wait for signal feedback","PTP","$OUT[7]=TRUE, WAIT FOR $IN[2]","DEF Push_And_Wait()
   PTP BUTTON_POS
   $OUT[7] = TRUE
   WAIT FOR $IN[2]
END"
"Insert syringe into robotic injector mount","PTP + LIN","$OUT[9]=TRUE","DEF Mount_Syringe()
   PTP SYRINGE_PICK
   LIN INJECTOR_SLOT
   $OUT[9] = TRUE
END"
"Lift battery panel and hold during maintenance","LIN + PTP","$OUT[10]=TRUE","DEF Hold_Battery_Panel()
   LIN PANEL_LIFT
   PTP MAINTENANCE_HOLD
   $OUT[10] = TRUE
END"
"Scan QR code on medical sample tube before storage","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Scan_Sample_Tube()
   PTP TUBE_POS
   LIN QR_SCANNER
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Attach warning label onto chemical barrel","PTP + LIN","$OUT[4]=TRUE","DEF Label_Chemical_Barrel()
   PTP LABEL_PICK
   LIN BARREL_SURFACE
   $OUT[4] = TRUE
END"
"Place tray into sterilization chamber and close door","PTP + LIN + PTP","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Load_Sterilizer()
   PTP TRAY_PICK
   LIN CHAMBER_SLOT
   PTP DOOR_HANDLE
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Align mechanical pin into socket with precision","PTP + LIN","$OUT[1]=TRUE","DEF Align_Pin()
   PTP PIN_PICK
   LIN SOCKET_POS
   $OUT[1] = TRUE
END"
"Clean solar panel using rotating brush","LIN","$OUT[2]=TRUE, WAIT SEC 5, $OUT[2]=FALSE","DEF Clean_Solar_Panel()
   LIN BRUSH_START
   LIN BRUSH_END
   $OUT[2] = TRUE
   WAIT SEC 5
   $OUT[2] = FALSE
END"
"Press circuit button and verify light response","PTP","$OUT[5]=TRUE, WAIT FOR $IN[3]","DEF Press_Button_Verify()
   PTP BUTTON_POS
   $OUT[5] = TRUE
   WAIT FOR $IN[3]
END"
"Load 3D print plate onto printer bed","PTP + LIN","$OUT[7]=TRUE","DEF Load_Print_Bed()
   PTP PLATE_PICK
   LIN PRINTER_BED
   $OUT[7] = TRUE
END"
"Pick up packaging tape and apply to box","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 2","DEF Tape_Box()
   PTP TAPE_PICK
   LIN BOX_TOP
   $OUT[9] = TRUE
   WAIT SEC 2
END"
"Unlock safety hatch after emergency trigger","PTP","$OUT[8]=FALSE","DEF Unlock_Safety_Hatch()
   PTP HATCH_LOCK
   $OUT[8] = FALSE
END"
"Insert plug into charging port and hold","PTP + LIN","$OUT[10]=TRUE, WAIT SEC 3","DEF Insert_Charging_Plug()
   PTP PLUG_PICK
   LIN CHARGING_PORT
   $OUT[10] = TRUE
   WAIT SEC 3
END"
"Install protective cover over motor housing","PTP + LIN","$OUT[1]=TRUE, WAIT SEC 1, $OUT[1]=FALSE","DEF Install_Motor_Cover()
   PTP COVER_PICK
   LIN MOTOR_HOUSING
   $OUT[1] = TRUE
   WAIT SEC 1
   $OUT[1] = FALSE
END"
"Push control panel button to initiate diagnostics","PTP","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Start_Diagnostics()
   PTP PANEL_BUTTON
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Place thermal sensor onto circuit board pad","PTP + LIN","$OUT[5]=TRUE","DEF Mount_Thermal_Sensor()
   PTP SENSOR_PICK
   LIN PAD_POSITION
   $OUT[5] = TRUE
END"
"Hold PCB vertically during coating process","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 5, $OUT[4]=FALSE","DEF Hold_PCB_For_Coating()
   PTP PCB_PICK
   LIN COATING_POS
   $OUT[4] = TRUE
   WAIT SEC 5
   $OUT[4] = FALSE
END"
"Unload completed unit from conveyor to tray","LIN + PTP","$OUT[2]=TRUE","DEF Unload_To_Tray()
   LIN CONVEYOR_END
   PTP TRAY_POS
   $OUT[2] = TRUE
END"
"Spray disinfectant on tool surface","LIN","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Disinfect_Tool()
   LIN SPRAY_START
   LIN SPRAY_END
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Insert probe into analysis port and wait for signal","PTP + LIN","$OUT[7]=TRUE, WAIT FOR $IN[5]","DEF Insert_Probe_And_Wait()
   PTP PROBE_PICK
   LIN ANALYSIS_PORT
   $OUT[7] = TRUE
   WAIT FOR $IN[5]
END"
"Adjust mirror to reflect laser beam","PTP + LIN","$OUT[8]=TRUE","DEF Adjust_Mirror()
   PTP MIRROR_PICK
   LIN LASER_ALIGNMENT
   $OUT[8] = TRUE
END"
