prompt,code
Ultrasonic sensor distance measurement.,"#define TRIG_PIN 9
#define ECHO_PIN 10

void setup() {
  Serial.begin(9600);
  pinMode(TRIG_PIN, OUTPUT);
  pinMode(ECHO_PIN, INPUT);
}
void loop() {
  digitalWrite(TRIG_PIN, LOW);
  delayMicroseconds(2);
  digitalWrite(TRIG_PIN, HIGH);
  delayMicroseconds(10);
  digitalWrite(TRIG_PIN, LOW);
  
  long duration = pulseIn(ECHO_PIN, HIGH);
  int distance = duration * 0.034 / 2;
  
  Serial.print(""Distance: "");
  Serial.print(distance);
  Serial.println("" cm"");
  delay(500);
}"
Soil moisture sensor for plant watering system.,"int moisturePin = A0;
int pumpPin = 8;
int threshold = 500;

void setup() {
  Serial.begin(9600);
  pinMode(pumpPin, OUTPUT);
  digitalWrite(pumpPin, LOW);
}
void loop() {
  int moisture = analogRead(moisturePin);
  Serial.print(""Moisture: "");
  Serial.println(moisture);
  
  if (moisture < threshold) {
    digitalWrite(pumpPin, HIGH);
    delay(2000);
    digitalWrite(pumpPin, LOW);
  }
  delay(5000);
}"
RGB LED color cycle.,"int redPin = 9;
int greenPin = 10;
int bluePin = 11;

void setup() {
  pinMode(redPin, OUTPUT);
  pinMode(greenPin, OUTPUT);
  pinMode(bluePin, OUTPUT);
}
void loop() {
  // Red
  setColor(255, 0, 0);
  delay(1000);
  // Green
  setColor(0, 255, 0);
  delay(1000);
  // Blue
  setColor(0, 0, 255);
  delay(1000);
  // Yellow
  setColor(255, 255, 0);
  delay(1000);
}
void setColor(int red, int green, int blue) {
  analogWrite(redPin, red);
  analogWrite(greenPin, green);
  analogWrite(bluePin, blue);
}"
Light-dependent resistor to control LED brightness.,"int ldrPin = A0;
int ledPin = 9;

void setup() {
  Serial.begin(9600);
  pinMode(ledPin, OUTPUT);
}
void loop() {
  int lightLevel = analogRead(ldrPin);
  int brightness = map(lightLevel, 0, 1023, 255, 0);
  analogWrite(ledPin, brightness);
  
  Serial.print(""Light: "");
  Serial.print(lightLevel);
  Serial.print("" | Brightness: "");
  Serial.println(brightness);
  delay(100);
}"
Button-controlled servo motor position.,"#include <Servo.h>
int buttonPin = 2;
int servoPin = 9;
Servo myServo;
int angle = 0;

void setup() {
  myServo.attach(servoPin);
  pinMode(buttonPin, INPUT_PULLUP);
  myServo.write(angle);
}
void loop() {
  if (digitalRead(buttonPin) == LOW) {
    angle += 45;
    if (angle > 180) {
      angle = 0;
    }
    myServo.write(angle);
    delay(500);
  }
}"
Sound sensor to detect claps and toggle LED.,"int soundPin = A0;
int ledPin = 13;
boolean ledState = false;
int threshold = 500;

void setup() {
  Serial.begin(9600);
  pinMode(ledPin, OUTPUT);
}
void loop() {
  int soundValue = analogRead(soundPin);
  Serial.println(soundValue);
  
  if (soundValue > threshold) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(300);
  }
  delay(10);
}"
Temperature-controlled cooling fan.,"#include <DHT.h>
#define DHTPIN 4
#define DHTTYPE DHT22
#define FANPIN 8
#define TEMP_THRESHOLD 27.0

DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin();
  pinMode(FANPIN, OUTPUT);
  digitalWrite(FANPIN, LOW);
}
void loop() {
  float temp = dht.readTemperature();
  
  if (!isnan(temp)) {
    Serial.print(""Temperature: "");
    Serial.print(temp);
    Serial.println("" °C"");
    
    if (temp >= TEMP_THRESHOLD) {
      digitalWrite(FANPIN, HIGH);
      Serial.println(""Fan ON"");
    } else {
      digitalWrite(FANPIN, LOW);
      Serial.println(""Fan OFF"");
    }
  }
  delay(2000);
}"
WiFi weather fetch using ESP8266 and display on Serial.,"#include <ESP8266WiFi.h>
#include <ESP8266HTTPClient.h>

const char* ssid = ""YOUR_SSID"";
const char* password = ""YOUR_PASS"";

void setup() {
  Serial.begin(115200);
  WiFi.begin(ssid, password);
  while (WiFi.status() != WL_CONNECTED) {
    delay(500);
    Serial.print(""."");
  }
  Serial.println(""\nConnected!"");
}

void loop() {
  if (WiFi.status() == WL_CONNECTED) {
    HTTPClient http;
    http.begin(""http://api.weatherapi.com/v1/current.json?key=YOUR_KEY&q=London"");
    int httpCode = http.GET();
    if (httpCode == 200) {
      String payload = http.getString();
      Serial.println(payload);
    } else {
      Serial.println(""Failed to fetch data"");
    }
    http.end();
  }
  delay(60000);
}"
RFID door lock using MFRC522 module.,"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 rfid(SS_PIN, RST_PIN);
byte masterCard[] = {0xDE, 0xAD, 0xBE, 0xEF};

void setup() {
  Serial.begin(9600);
  SPI.begin();
  rfid.PCD_Init();
  pinMode(8, OUTPUT); // Lock control
}

void loop() {
  if (!rfid.PICC_IsNewCardPresent()) return;
  if (!rfid.PICC_ReadCardSerial()) return;

  bool match = true;
  for (byte i = 0; i < 4; i++) {
    if (rfid.uid.uidByte[i] != masterCard[i]) {
      match = false;
      break;
    }
  }

  if (match) {
    digitalWrite(8, HIGH);
    delay(5000);
    digitalWrite(8, LOW);
  } else {
    Serial.println(""Access Denied"");
  }
  rfid.PICC_HaltA();
}"
Data logger using SD card and temperature sensor.,"#include <SD.h>
#include <SPI.h>

File logFile;

void setup() {
  Serial.begin(9600);
  if (!SD.begin(4)) {
    Serial.println(""SD fail"");
    return;
  }
}

void loop() {
  int temp = analogRead(A0);
  float c = temp * 5.0 / 1023.0 * 100;

  logFile = SD.open(""log.txt"", FILE_WRITE);
  if (logFile) {
    logFile.println(c);
    logFile.close();
  }
  delay(10000);
}"
Stepper motor control with A4988 and potentiometer.,"const int dirPin = 2;
const int stepPin = 3;

void setup() {
  pinMode(stepPin, OUTPUT);
  pinMode(dirPin, OUTPUT);
}

void loop() {
  int speedVal = analogRead(A0);
  int delayTime = map(speedVal, 0, 1023, 1000, 10);
  digitalWrite(dirPin, HIGH);
  digitalWrite(stepPin, HIGH);
  delayMicroseconds(delayTime);
  digitalWrite(stepPin, LOW);
  delayMicroseconds(delayTime);
}"
Capacitive touch sensor to toggle LED.,"int touchPin = 2;
int ledPin = 13;
bool ledState = false;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(touchPin) == HIGH) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(500);
  }
}"
Control NeoPixel colors with 3 potentiometers (RGB).,"#include <Adafruit_NeoPixel.h>
#define PIN 6

Adafruit_NeoPixel strip(1, PIN, NEO_GRB + NEO_KHZ800);

void setup() {
  strip.begin();
  strip.show();
}

void loop() {
  int r = analogRead(A0) / 4;
  int g = analogRead(A1) / 4;
  int b = analogRead(A2) / 4;
  strip.setPixelColor(0, strip.Color(r, g, b));
  strip.show();
  delay(50);
}"
Ultrasonic parking sensor with buzzer warning.,"#define trigPin 9
#define echoPin 10
#define buzzer 8

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(buzzer, OUTPUT);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  int distance = duration * 0.034 / 2;

  if (distance < 20) {
    tone(buzzer, 1000);
  } else {
    noTone(buzzer);
  }
  delay(100);
}"
Touchless hand sanitizer trigger with IR sensor and relay.,"int irSensor = 2;
int relay = 7;

void setup() {
  pinMode(irSensor, INPUT);
  pinMode(relay, OUTPUT);
}

void loop() {
  if (digitalRead(irSensor) == LOW) {
    digitalWrite(relay, HIGH);
    delay(1000);
    digitalWrite(relay, LOW);
  }
}"
Display system time using DS3231 RTC module.,"#include <Wire.h>
#include <RTClib.h>

RTC_DS3231 rtc;

void setup () {
  Serial.begin(9600);
  rtc.begin();
}

void loop () {
  DateTime now = rtc.now();
  Serial.print(now.hour());
  Serial.print(':');
  Serial.print(now.minute());
  Serial.print(':');
  Serial.println(now.second());
  delay(1000);
}"
DIY digital lock with keypad and servo.,"#include <Keypad.h>
#include <Servo.h>

const byte ROWS = 4, COLS = 4;
char keys[ROWS][COLS] = {
  {'1','2','3','A'}, {'4','5','6','B'},
  {'7','8','9','C'}, {'*','0','#','D'}
};

byte rowPins[ROWS] = {9,8,7,6};
byte colPins[COLS] = {5,4,3,2};

Keypad keypad = Keypad(makeKeymap(keys), rowPins, colPins, ROWS, COLS);
Servo lockServo;

String password = ""1234"";
String input = """";

void setup() {
  lockServo.attach(10);
  lockServo.write(0);
}

void loop() {
  char key = keypad.getKey();
  if (key) {
    if (key == '#') {
      if (input == password) {
        lockServo.write(90);
        delay(3000);
        lockServo.write(0);
      }
      input = """";
    } else {
      input += key;
    }
  }
}"
Water Sensor connected to A0,"const int waterSensorPin = A0;
const int ledPin = 13;

int sensorValue = 0;
int threshold = 500; // Adjust based on your sensor calibration

void setup() {
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600); // For debugging via Serial Monitor
}

void loop() {
  sensorValue = analogRead(waterSensorPin); // Read water sensor value
  Serial.print(""Water Sensor Value: "");
  Serial.println(sensorValue);

  if (sensorValue > threshold) {
    digitalWrite(ledPin, HIGH); // Turn on LED
  } else {
    digitalWrite(ledPin, LOW);  // Turn off LED
  }

  delay(500); // Wait half a second
}"
Blink LED,"const int ledPin = 13;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  digitalWrite(ledPin, HIGH);
  delay(1000);
  digitalWrite(ledPin, LOW);
  delay(1000);
}"
Button Press,"const int buttonPin = 2;
const int ledPin = 13;
int buttonState = 0;

void setup() {
  pinMode(buttonPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  buttonState = digitalRead(buttonPin);
  if (buttonState == HIGH) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
Ultrasonic Sensor,"const int trigPin = 9;
const int echoPin = 10;
long duration;
int distance;

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  Serial.begin(9600);
}

void loop() {
  digitalWrite(trigPin, LOW);
  delayMicroseconds(2);
  
  digitalWrite(trigPin, HIGH);
  delayMicroseconds(10);
  digitalWrite(trigPin, LOW);
  
  duration = pulseIn(echoPin, HIGH);
  distance = duration * 0.034 / 2;
  
  Serial.print(""Distance: "");
  Serial.print(distance);
  Serial.println("" cm"");
  delay(1000);
}"
Temperature Sensor,"const int tempPin = A0;
float voltage, temperature;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int raw = analogRead(tempPin);
  voltage = raw * (5.0 / 1023.0);
  temperature = voltage * 100;
  Serial.print(""Temp: "");
  Serial.print(temperature);
  Serial.println("" °C"");
  delay(1000);
}"
Buzzer with Button Trigger,"const int buzzerPin = 8;
const int buttonPin = 2;

void setup() {
  pinMode(buzzerPin, OUTPUT);
  pinMode(buttonPin, INPUT);
}

void loop() {
  if (digitalRead(buttonPin) == HIGH) {
    digitalWrite(buzzerPin, HIGH);
  } else {
    digitalWrite(buzzerPin, LOW);
  }
}"
LDR Sensor,"const int ldrPin = A0;
int ldrValue;

void setup() {
  Serial.begin(9600);
}

void loop() {
  ldrValue = analogRead(ldrPin);
  Serial.print(""LDR Value: "");
  Serial.println(ldrValue);
  delay(500);
}"
Servo Motor Control,"#include <Servo.h>
Servo myServo;
const int potPin = A0;
int angle;

void setup() {
  myServo.attach(9);
}

void loop() {
  int val = analogRead(potPin);
  angle = map(val, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
Soil Moisture Sensor with Relay Pump,"const int soilPin = A0;
const int relayPin = 8;
int moistureLevel;
int threshold = 400;

void setup() {
  pinMode(relayPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  moistureLevel = analogRead(soilPin);
  Serial.print(""Moisture: "");
  Serial.println(moistureLevel);

  if (moistureLevel < threshold) {
    digitalWrite(relayPin, HIGH); // Water pump ON
  } else {
    digitalWrite(relayPin, LOW);  // Water pump OFF
  }

  delay(1000);
}"
MPU6050 Accelerometer/Gyro Sensor,"#include <Wire.h>
const int MPU = 0x68;

int16_t AccX, AccY, AccZ;

void setup() {
  Wire.begin();
  Wire.beginTransmission(MPU);
  Wire.write(0x6B);
  Wire.write(0);
  Wire.endTransmission(true);
  Serial.begin(9600);
}

void loop() {
  Wire.beginTransmission(MPU);
  Wire.write(0x3B);
  Wire.endTransmission(false);
  Wire.requestFrom(MPU, 6, true);

  AccX = Wire.read() << 8 | Wire.read();
  AccY = Wire.read() << 8 | Wire.read();
  AccZ = Wire.read() << 8 | Wire.read();

  Serial.print(""AccX: ""); Serial.print(AccX);
  Serial.print("" | AccY: ""); Serial.print(AccY);
  Serial.print("" | AccZ: ""); Serial.println(AccZ);

  delay(500);
}"
ESP8266 WiFi Module (AT Commands),"void setup() {
  Serial.begin(9600);       // Arduino Serial Monitor
  Serial1.begin(115200);    // ESP8266 Communication
}

void loop() {
  Serial1.println(""AT"");    // Test communication
  delay(1000);

  if (Serial1.available()) {
    while (Serial1.available()) {
      char c = Serial1.read();
      Serial.write(c);
    }
  }
}"
Magnetic Door Sensor (Reed Switch),"const int reedPin = 2;
const int ledPin = 13;

void setup() {
  pinMode(reedPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int state = digitalRead(reedPin);
  if (state == LOW) {
    Serial.println(""Door Closed"");
    digitalWrite(ledPin, LOW);
  } else {
    Serial.println(""Door Open"");
    digitalWrite(ledPin, HIGH);
  }
  delay(500);
}"
PIR Motion Sensor,"const int pirPin = 2;
const int ledPin = 13;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int motion = digitalRead(pirPin);
  if (motion == HIGH) {
    digitalWrite(ledPin, HIGH);
    Serial.println(""Motion Detected!"");
  } else {
    digitalWrite(ledPin, LOW);
  }
  delay(1000);
}"
4x4 Keypad Interface,"#include <Keypad.h>

const byte ROWS = 4;
const byte COLS = 4;
char keys[ROWS][COLS] = {
  {'1','2','3','A'},
  {'4','5','6','B'},
  {'7','8','9','C'},
  {'*','0','#','D'}
};

byte rowPins[ROWS] = {9, 8, 7, 6};
byte colPins[COLS] = {5, 4, 3, 2};
Keypad keypad = Keypad(makeKeymap(keys), rowPins, colPins, ROWS, COLS);

void setup() {
  Serial.begin(9600);
}

void loop() {
  char key = keypad.getKey();
  if (key) {
    Serial.print(""Key Pressed: "");
    Serial.println(key);
  }
}"
Relay Module Control,"const int relayPin = 7;

void setup() {
  pinMode(relayPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  digitalWrite(relayPin, HIGH);  // Turn ON relay
  Serial.println(""Relay ON"");
  delay(2000);

  digitalWrite(relayPin, LOW);   // Turn OFF relay
  Serial.println(""Relay OFF"");
  delay(2000);
}"
RFID Module (RC522),"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 rfid(SS_PIN, RST_PIN);

void setup() {
  Serial.begin(9600);
  SPI.begin();
  rfid.PCD_Init();
  Serial.println(""Scan RFID Card"");
}

void loop() {
  if (!rfid.PICC_IsNewCardPresent() || !rfid.PICC_ReadCardSerial()) return;

  Serial.print(""UID: "");
  for (byte i = 0; i < rfid.uid.size; i++) {
    Serial.print(rfid.uid.uidByte[i], HEX);
    Serial.print("" "");
  }
  Serial.println();
  rfid.PICC_HaltA();
}"
Sound Sensor (Microphone Module),"const int soundPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int soundLevel = analogRead(soundPin);
  Serial.print(""Sound Level: "");
  Serial.println(soundLevel);
  delay(500);
}"
IR Obstacle Avoidance Sensor,"const int irPin = 7;
const int ledPin = 13;

void setup() {
  pinMode(irPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  if (digitalRead(irPin) == LOW) {
    Serial.println(""Obstacle Detected"");
    digitalWrite(ledPin, HIGH);
  } else {
    Serial.println(""No Obstacle"");
    digitalWrite(ledPin, LOW);
  }
  delay(300);
}"
DC Motor Control with L298N Driver,"const int ENA = 9;
const int IN1 = 8;
const int IN2 = 7;

void setup() {
  pinMode(ENA, OUTPUT);
  pinMode(IN1, OUTPUT);
  pinMode(IN2, OUTPUT);
}

void loop() {
  digitalWrite(IN1, HIGH);
  digitalWrite(IN2, LOW);
  analogWrite(ENA, 200); // Speed
  delay(3000);

  digitalWrite(IN1, LOW);
  digitalWrite(IN2, HIGH);
  delay(3000);
}"
OLED Display (SSD1306 via I2C),"#include <Wire.h>
#include <Adafruit_GFX.h>
#include <Adafruit_SSD1306.h>

#define SCREEN_WIDTH 128
#define SCREEN_HEIGHT 64
Adafruit_SSD1306 display(SCREEN_WIDTH, SCREEN_HEIGHT, &Wire, -1);

void setup() {
  display.begin(SSD1306_SWITCHCAPVCC, 0x3C);
  display.clearDisplay();
  display.setTextSize(1);
  display.setTextColor(WHITE);
  display.setCursor(0, 10);
  display.println(""Hello, OLED!"");
  display.display();
}

void loop() {
  delay(2000);
}"
HC-05 Bluetooth Module,"void setup() {
  Serial.begin(9600);     // Serial monitor
  Serial1.begin(9600);    // Bluetooth module
}

void loop() {
  if (Serial.available()) {
    Serial1.write(Serial.read());
  }
  if (Serial1.available()) {
    Serial.write(Serial1.read());
  }
}"
MQ-2 Gas Sensor,"const int gasPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int value = analogRead(gasPin);
  Serial.print(""Gas Level: "");
  Serial.println(value);
  delay(1000);
}"
Real-Time Clock (DS3231),"#include <Wire.h>
#include ""RTClib.h""

RTC_DS3231 rtc;

void setup () {
  Serial.begin(9600);
  rtc.begin();
}

void loop () {
  DateTime now = rtc.now();
  Serial.print(now.hour());
  Serial.print(':');
  Serial.print(now.minute());
  Serial.print(':');
  Serial.println(now.second());
  delay(1000);
}"
GPS Module (NEO-6M),"#include <SoftwareSerial.h>
SoftwareSerial gpsSerial(4, 3);

void setup() {
  Serial.begin(9600);
  gpsSerial.begin(9600);
}

void loop() {
  while (gpsSerial.available()) {
    char c = gpsSerial.read();
    Serial.write(c);
  }
}"
EEPROM Read/Write,"#include <EEPROM.h>

void setup() {
  Serial.begin(9600);
  EEPROM.write(0, 123);
  int val = EEPROM.read(0);
  Serial.print(""Stored value: "");
  Serial.println(val);
}

void loop() {}"
7-Segment Display (Common Cathode),"int segPins[] = {2, 3, 4, 5, 6, 7, 8};

byte digits[10][7] = {
  {1,1,1,1,1,1,0},
  {0,1,1,0,0,0,0},
  {1,1,0,1,1,0,1},
  {1,1,1,1,0,0,1},
  {0,1,1,0,0,1,1},
  {1,0,1,1,0,1,1},
  {1,0,1,1,1,1,1},
  {1,1,1,0,0,0,0},
  {1,1,1,1,1,1,1},
  {1,1,1,1,0,1,1}
};

void setup() {
  for (int i = 0; i < 7; i++) {
    pinMode(segPins[i], OUTPUT);
  }
}

void loop() {
  for (int num = 0; num < 10; num++) {
    for (int i = 0; i < 7; i++) {
      digitalWrite(segPins[i], digits[num][i]);
    }
    delay(1000);
  }
}"
